Дата,Максимальная температура,Минимальная температура,Средняя температура,Атмосферное давление,Скорость ветра,Осадки,Эффективная температура,city
01.01.2014,1.7,-1.7,0.3,1008.8,1,0.0,-2.1,Moscow
02.01.2014,-2.0,-3.6,-2.6,1007.9,1,0.0,-5.2,Moscow
03.01.2014,-0.9,-3.5,-2.2,1007.2,1,0.0,-4.7,Moscow
04.01.2014,-0.9,-2.5,-1.7,1004.7,2,1.0,-4.8,Moscow
05.01.2014,1.2,-1.7,0.3,1000.0,1,5.0,-1.8,Moscow
06.01.2014,1.2,0.2,0.8,996.9,1,2.0,-1.2,Moscow
07.01.2014,1.7,0.7,1.2,999.0,1,0.0,-0.8,Moscow
08.01.2014,3.0,1.2,2.4,993.0,1,1.0,0.6,Moscow
09.01.2014,3.4,2.4,2.7,986.3,1,0.0,0.9,Moscow
10.01.2014,4.0,2.2,3.2,978.2,1,7.0,1.4,Moscow
11.01.2014,3.7,-1.9,1.1,971.0,1,4.0,-1.0,Moscow
12.01.2014,1.0,-2.4,0.0,977.8,1,5.0,-2.2,Moscow
13.01.2014,0.2,-7.7,-4.3,978.6,3,6.0,-8.3,Moscow
14.01.2014,-8.2,-10.8,-9.3,993.5,1,1.0,-12.5,Moscow
15.01.2014,-8.9,-13.2,-10.4,999.6,1,,-13.7,Moscow
16.01.2014,-8.2,-10.9,-9.4,990.6,2,6.0,-13.2,Moscow
17.01.2014,-11.5,-14.2,-13.1,994.9,2,2.0,-17.2,Moscow
18.01.2014,-14.1,-17.9,-16.0,1000.2,1,0.0,-19.7,Moscow
19.01.2014,-16.5,-21.2,-18.4,1007.9,1,0.0,-22.2,Moscow
20.01.2014,-10.2,-18.6,-13.3,1013.7,1,0.0,-16.8,Moscow
21.01.2014,-12.4,-17.8,-15.7,1012.1,0,0.0,-18.7,Moscow
22.01.2014,-15.2,-19.9,-17.8,1007.1,1,0.0,-21.6,Moscow
23.01.2014,-12.2,-20.8,-16.4,1005.1,1,0.0,-20.1,Moscow
24.01.2014,-11.5,-18.6,-15.4,1008.3,2,0.0,-19.7,Moscow
25.01.2014,-11.9,-20.0,-15.0,1010.3,1,0.0,-18.6,Moscow
26.01.2014,-9.9,-15.6,-13.1,1009.5,1,0.0,-16.6,Moscow
27.01.2014,-10.5,-15.1,-11.9,1010.0,1,,-15.3,Moscow
28.01.2014,-13.2,-18.7,-15.6,1018.0,1,0.0,-19.3,Moscow
29.01.2014,-18.3,-22.0,-19.9,1027.3,1,0.0,-23.9,Moscow
30.01.2014,-16.4,-25.4,-20.8,1032.9,0,0.0,-24.2,Moscow
31.01.2014,-13.1,-21.8,-17.9,1034.6,0,0.0,-21.1,Moscow
01.02.2014,-10.3,-18.5,-12.7,1029.7,1,0.0,-16.3,Moscow
02.02.2014,-6.5,-10.9,-8.5,1020.4,1,0.0,-11.9,Moscow
03.02.2014,-6.0,-10.0,-7.6,1009.5,1,0.0,-10.8,Moscow
04.02.2014,-2.4,-6.5,-3.9,1005.1,1,0.0,-6.6,Moscow
05.02.2014,-2.5,-4.9,-3.6,1003.6,1,0.0,-6.2,Moscow
06.02.2014,-3.7,-8.2,-5.8,998.3,1,0.0,-8.7,Moscow
07.02.2014,-3.2,-10.1,-5.6,994.4,1,2.0,-8.4,Moscow
08.02.2014,0.0,-3.5,-1.4,994.7,1,1.0,-3.7,Moscow
09.02.2014,0.9,-2.2,-0.1,994.9,2,1.0,-3.0,Moscow
10.02.2014,-2.7,-4.5,-3.4,997.2,2,1.0,-6.7,Moscow
11.02.2014,-3.9,-5.0,-4.4,996.3,1,5.0,-7.1,Moscow
12.02.2014,1.7,-4.3,-0.1,994.7,1,1.0,-2.3,Moscow
13.02.2014,1.7,0.6,1.4,993.0,1,0.0,-0.6,Moscow
14.02.2014,3.7,1.3,2.7,991.0,1,1.0,0.9,Moscow
15.02.2014,2.9,1.4,2.1,994.7,1,,0.2,Moscow
16.02.2014,2.2,0.7,1.5,995.6,1,0.0,-0.6,Moscow
17.02.2014,1.5,0.6,1.2,987.6,1,3.0,-0.8,Moscow
18.02.2014,2.0,0.7,1.5,985.1,1,1.0,-0.5,Moscow
19.02.2014,1.2,-1.5,0.3,988.6,1,3.0,-2.0,Moscow
20.02.2014,1.1,-3.3,-0.7,987.5,1,0.0,-3.1,Moscow
21.02.2014,-1.4,-5.8,-3.1,997.9,1,0.0,-5.8,Moscow
22.02.2014,-0.2,-5.0,-1.8,1005.0,2,0.0,-5.0,Moscow
23.02.2014,2.4,-0.8,1.7,1006.0,1,4.0,-0.2,Moscow
24.02.2014,2.2,1.2,1.8,1014.8,1,0.0,-0.3,Moscow
25.02.2014,3.9,-1.7,0.9,1018.2,1,0.0,-1.6,Moscow
26.02.2014,2.4,-4.7,-1.1,1016.1,1,0.0,-4.1,Moscow
27.02.2014,3.5,-5.3,-0.9,1010.8,1,0.0,-3.8,Moscow
28.02.2014,3.4,-4.8,-0.8,1005.8,1,0.0,-3.8,Moscow
01.03.2014,2.0,-5.5,-1.3,1003.5,1,0.0,-4.1,Moscow
02.03.2014,-1.2,-2.5,-1.8,1001.5,1,1.0,-4.4,Moscow
03.03.2014,2.9,-1.6,0.7,1000.6,1,0.0,-1.5,Moscow
04.03.2014,0.9,-2.0,-0.4,999.5,1,1.0,-2.8,Moscow
05.03.2014,4.0,-1.1,1.6,1005.3,1,0.0,-0.5,Moscow
06.03.2014,2.1,-0.2,1.3,1012.2,1,0.0,-0.9,Moscow
07.03.2014,5.8,-2.0,2.4,1015.4,1,0.0,0.2,Moscow
08.03.2014,8.3,1.5,4.9,1010.1,1,0.0,3.0,Moscow
09.03.2014,8.9,0.3,4.5,1010.6,1,1.0,2.3,Moscow
10.03.2014,13.2,1.7,7.3,1005.1,1,0.0,5.2,Moscow
11.03.2014,9.5,3.4,5.9,997.4,2,0.0,3.2,Moscow
12.03.2014,6.7,1.7,4.2,999.1,2,,1.3,Moscow
13.03.2014,8.4,2.1,5.1,991.8,1,0.0,3.1,Moscow
14.03.2014,9.7,2.3,5.4,983.9,2,0.0,2.7,Moscow
15.03.2014,8.0,1.2,5.1,971.0,2,,2.3,Moscow
16.03.2014,3.5,-1.2,1.5,958.6,1,7.0,-0.7,Moscow
17.03.2014,-0.5,-3.0,-1.8,970.0,2,1.0,-5.1,Moscow
18.03.2014,-1.7,-4.2,-3.1,979.8,2,,-6.6,Moscow
19.03.2014,-1.0,-7.5,-3.9,981.8,1,5.0,-6.7,Moscow
20.03.2014,-3.7,-8.9,-5.8,989.1,1,1.0,-8.7,Moscow
21.03.2014,5.4,-10.4,-0.1,995.5,1,,-2.6,Moscow
22.03.2014,14.7,4.4,8.2,988.5,1,0.0,6.8,Moscow
23.03.2014,14.4,0.5,9.0,992.2,1,0.0,7.6,Moscow
24.03.2014,18.4,7.4,12.2,991.8,1,0.0,10.9,Moscow
25.03.2014,19.2,3.0,11.5,993.8,1,0.0,10.0,Moscow
26.03.2014,9.9,1.9,5.9,1006.8,2,0.0,3.1,Moscow
27.03.2014,9.9,-0.2,4.4,1007.3,1,0.0,1.8,Moscow
28.03.2014,2.2,-3.7,0.8,998.5,4,0.0,-3.9,Moscow
29.03.2014,1.9,-6.9,-2.1,1002.4,3,0.0,-6.5,Moscow
30.03.2014,7.7,-2.8,3.3,991.7,1,0.0,0.7,Moscow
31.03.2014,5.0,-2.9,0.6,983.0,1,3.0,-1.8,Moscow
01.04.2014,0.7,-5.4,-2.2,987.1,3,6.0,-6.2,Moscow
01.01.2014,1.0,-1.0,0.4,,5,,-4.5,Kazan
02.01.2014,0.0,-3.0,-1.4,,5,,-6.4,Kazan
